site_no,dec_lat_va,dec_long_va,ppt_m01_mm,ppt_m02_mm,ppt_m03_mm,ppt_m04_mm,ppt_m05_mm,ppt_m06_mm,ppt_m07_mm,ppt_m08_mm,ppt_m09_mm,ppt_m10_mm,ppt_m11_mm,ppt_m12_mm,ppt_ann_mm,tmean_m01_c,tmean_m02_c,tmean_m03_c,tmean_m04_c,tmean_m05_c,tmean_m06_c,tmean_m07_c,tmean_m08_c,tmean_m09_c,tmean_m10_c,tmean_m11_c,tmean_m12_c,tmean_ann_C
06861000,38.80778889,-100.0222667,12.741299629211426,17.409500122070312,33.57830047607422,48.16559982299805,84.94539642333984,77.14830017089844,90.2636947631836,75.04940032958984,43.99440002441406,41.493499755859375,18.975500106811523,20.3268985748291,564.09320068359375,-1.1000999212265015,0.684499979019165,6.036799907684326,11.11520004272461,16.963199615478516,23.246000289916992,26.0856990814209,24.813400268554688,20.173500061035156,12.756999969482422,5.464699745178223,-0.12159999459981918,12.179999351501465
06863500,38.852234,-99.3181589,13.372699737548828,19.931900024414062,33.15480041503906,51.4547004699707,92.07820129394531,79.370697021484375,98.65039825439453,85.296600341796875,51.688697814941406,43.16830062866211,22.067298889160156,21.066598892211914,611.30230712890625,-1.1900999546051025,0.652999997138977,6.168600082397461,11.394000053405762,17.295900344848633,23.505800247192383,26.23259925842285,24.989500045776367,20.412099838256836,12.96969985961914,5.619100093841553,-0.06109999865293503,12.329999923706055
06863900,38.8866783,-99.2062101,13.894700050354004,19.408300399780273,32.802799224853516,52.177398681640625,93.73639678955078,81.82989501953125,101.42029571533203,86.24669647216797,54.39619827270508,43.673099517822266,23.128700256347656,21.376298904418945,624.09259033203125,-1.2171999216079712,0.6642999649047852,6.166399955749512,11.390399932861328,17.297300338745117,23.523799896240234,26.257598876953125,25.022098541259766,20.42169952392578,12.979199409484863,5.633499622344971,-0.05909999832510948,12.34000015258789
06864500,38.72667589,-98.2336684,17.289600372314453,25.672998428344727,42.9995002746582,58.37649917602539,119.02230072021484,94.39459991455078,97.02469635009766,97.99800109863281,62.670196533203125,52.42329788208008,27.731998443603516,25.8572998046875,721.46270751953125,-1.0219999551773071,0.8968999981880188,6.752599716186523,12.038000106811523,17.801898956298828,23.924299240112305,26.573699951171875,25.373199462890625,20.753299713134766,13.603099822998047,6.140599727630615,0.31689998507499695,12.75999927520752
06866000,38.56380659,-97.6664947,21.11829948425293,30.771099090576172,52.233699798583984,70.224395751953125,123.42469787597656,105.27169799804688,111.34949493408203,91.41320037841797,70.59259796142578,57.823997497558594,36.728599548339844,30.852399826049805,801.805908203125,-0.6775999665260315,1.4433999061584473,7.177700042724609,12.465899467468262,18.329099655151367,24.473098754882812,27.18120002746582,25.984498977661133,21.29759979248047,14.224199295043945,6.725399971008301,0.7953999638557434,13.279999732971191
06866900,39.1061861,-99.86955,13.082900047302246,17.799400329589844,32.26300048828125,50.964599609375,94.80590057373047,77.244598388671875,95.24029541015625,81.64679718017578,49.21249771118164,41.90950012207031,20.817899703979492,19.680898666381836,594.6697998046875,-1.201799988746643,0.5285999774932861,5.944599628448486,11.1097993850708,16.96809959411621,23.1919002532959,26.17449951171875,24.84980010986328,20.200899124145508,12.680599212646484,5.409899711608887,-0.21699999272823334,12.139999389648438
06867000,38.9658611,-98.8540917,15.78849983215332,20.871999740600586,32.644100189208984,53.12339782714844,102.07669830322266,85.54319763183594,104.83789825439453,92.49939727783203,55.98460006713867,45.30379867553711,25.717599868774414,22.407499313354492,656.80035400390625,-1.5164999961853027,0.4697999954223633,6.223899841308594,11.484399795532227,17.359800338745117,23.615598678588867,26.495498657226562,25.099599838256836,20.39099884033203,13.091399192810059,5.695699691772461,-0.09119999408721924,12.359999656677246
06867500,39.05919167,-98.8422917,15.876899719238281,20.438400268554688,33.416900634765625,53.74879837036133,101.08069610595703,86.3927993774414,106.7354965209961,92.84099578857422,57.31429672241211,44.963600158691406,26.102798461914062,22.47239875793457,661.38580322265625,-1.5645999908447266,0.46309998631477356,6.085299968719482,11.380799293518066,17.279399871826172,23.5231990814209,26.42329978942871,25.053298950195312,20.358299255371094,13.029199600219727,5.595399856567383,-0.1680999994277954,12.289899826049805
06868000,38.9333444,-98.5336787,16.058698654174805,22.381999969482422,35.15959930419922,56.943397521972656,107.24929809570312,92.77230072021484,101.47789764404297,97.05039978027344,58.292598724365234,48.04800033569336,26.907400131225586,24.303098678588867,686.6463623046875,-1.233699917793274,0.8991000056266785,6.518899917602539,11.757999420166016,17.628000259399414,23.765098571777344,26.586698532104492,25.250999450683594,20.607099533081055,13.41759967803955,6.075200080871582,0.22609999775886536,12.61989974975586
06868400,39.0576803,-98.559707,15.745199203491211,21.20240020751953,35.09560012817383,56.73270034790039,105.79199981689453,91.99689483642578,104.36819458007812,95.0458984375,58.613800048828125,47.0890998840332,26.816200256347656,24.03179931640625,682.53106689453125,-1.5403999090194702,0.6103000044822693,6.272299766540527,11.622599601745605,17.5054988861084,23.670398712158203,26.557498931884766,25.19659996032715,20.513399124145508,13.271199226379395,5.834799766540527,-0.03099999949336052,12.460000038146973
