NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_iqr_mm
9.4.2,Central Great Plains,91.84314727783203
9.4.2,Central Great Plains,75.8098373413086
9.4.2,Central Great Plains,84.61864471435547
9.4.2,Central Great Plains,97.88341522216797
9.4.2,Central Great Plains,68.1354751586914
9.4.2,Central Great Plains,78.8839111328125
9.4.2,Central Great Plains,84.64701080322266
9.4.2,Central Great Plains,83.07810974121094
9.4.2,Central Great Plains,66.593994140625
9.4.2,Central Great Plains,75.24919128417969
9.4.2,Central Great Plains,101.84729766845703
9.4.2,Central Great Plains,70.08818054199219
9.4.2,Central Great Plains,77.6391372680664
9.4.2,Central Great Plains,97.69829559326172
9.4.2,Central Great Plains,78.324371337890625
9.4.2,Central Great Plains,78.35368347167969
9.4.2,Central Great Plains,76.19355773925781
9.4.2,Central Great Plains,74.60888671875
9.4.3,Southwestern Tablelands,65.49456024169922
9.4.3,Southwestern Tablelands,77.12488555908203
9.4.3,Southwestern Tablelands,43.07216262817383
9.4.3,Southwestern Tablelands,56.22517395019531
9.4.3,Southwestern Tablelands,51.333683013916016
9.4.3,Southwestern Tablelands,46.13880920410156
9.4.3,Southwestern Tablelands,55.70310974121094
9.4.3,Southwestern Tablelands,62.8935661315918
9.4.3,Southwestern Tablelands,88.88731384277344
9.4.3,Southwestern Tablelands,50.8752326965332
9.4.3,Southwestern Tablelands,37.55561065673828
9.4.3,Southwestern Tablelands,61.250850677490234
9.4.3,Southwestern Tablelands,54.16495895385742
9.4.3,Southwestern Tablelands,55.74294662475586
9.4.3,Southwestern Tablelands,29.883058547973633
9.4.3,Southwestern Tablelands,58.86335754394531
9.4.3,Southwestern Tablelands,70.567108154296875
9.4.3,Southwestern Tablelands,63.40423583984375
9.4.3,Southwestern Tablelands,63.280147552490234
9.4.3,Southwestern Tablelands,86.6873550415039
9.4.3,Southwestern Tablelands,87.64710998535156
9.4.3,Southwestern Tablelands,63.20548629760742
9.4.3,Southwestern Tablelands,55.538761138916016
9.4.3,Southwestern Tablelands,71.01335144042969
9.4.3,Southwestern Tablelands,67.85137939453125
9.4.3,Southwestern Tablelands,67.69332122802734
9.4.3,Southwestern Tablelands,100.68535614013672
9.4.3,Southwestern Tablelands,67.78736877441406
9.4.3,Southwestern Tablelands,70.17889404296875
9.4.3,Southwestern Tablelands,69.608795166015625
9.4.3,Southwestern Tablelands,56.892356872558594
9.4.3,Southwestern Tablelands,35.91756057739258
9.4.3,Southwestern Tablelands,79.81954193115234
9.4.3,Southwestern Tablelands,93.404327392578125
9.4.3,Southwestern Tablelands,57.60024642944336
9.4.3,Southwestern Tablelands,47.14670944213867
9.4.3,Southwestern Tablelands,55.65452575683594
9.4.3,Southwestern Tablelands,56.58864974975586
9.4.3,Southwestern Tablelands,62.758018493652344
9.4.3,Southwestern Tablelands,60.4681396484375
9.4.3,Southwestern Tablelands,99.48470306396484
9.4.3,Southwestern Tablelands,56.46991729736328
9.4.3,Southwestern Tablelands,58.37953567504883
9.4.3,Southwestern Tablelands,56.46281433105469
9.4.3,Southwestern Tablelands,55.3902473449707
9.4.3,Southwestern Tablelands,50.591861724853516
9.4.3,Southwestern Tablelands,59.987796783447266
9.4.3,Southwestern Tablelands,55.63129806518555
9.4.3,Southwestern Tablelands,102.97846221923828
9.4.3,Southwestern Tablelands,91.7044677734375
9.4.3,Southwestern Tablelands,90.57606506347656
9.4.3,Southwestern Tablelands,93.21025085449219
9.4.3,Southwestern Tablelands,61.92144775390625
9.4.3,Southwestern Tablelands,55.99944305419922
9.4.4,Flint Hills,121.96424102783203
9.4.5,Cross Timbers,79.28630828857422
9.4.5,Cross Timbers,37.87626266479492
9.4.5,Cross Timbers,47.42098617553711
9.4.5,Cross Timbers,52.283077239990234
9.4.5,Cross Timbers,58.32898712158203
9.4.5,Cross Timbers,60.98270797729492
9.4.5,Cross Timbers,48.31770706176758
9.4.5,Cross Timbers,34.236289978027344
9.4.5,Cross Timbers,41.22465896606445
9.4.6,Edwards Plateau,26.843263626098633
9.4.6,Edwards Plateau,33.19178009033203
9.4.6,Edwards Plateau,44.58216094970703
9.4.6,Edwards Plateau,43.13412857055664
9.4.6,Edwards Plateau,27.306476593017578
9.4.7,Texas Blackland Prairies,55.265052795410156
9.4.7,Texas Blackland Prairies,55.05757141113281
9.4.7,Texas Blackland Prairies,50.278099060058594
9.4.7,Texas Blackland Prairies,58.0832405090332
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,30.364789962768555
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,28.796411514282227
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,34.63161087036133
9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,39.39702606201172
