NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_sd_mm
9.4.1,High Plains,83.25334930419922
9.4.1,High Plains,58.724727630615234
9.4.1,High Plains,82.97289276123047
9.4.1,High Plains,75.518707275390625
9.4.1,High Plains,78.02685546875
9.4.1,High Plains,74.912078857421875
9.4.1,High Plains,81.37030792236328
9.4.1,High Plains,77.44136047363281
9.4.1,High Plains,77.42060089111328
9.4.1,High Plains,61.193626403808594
9.4.1,High Plains,51.5423469543457
9.4.1,High Plains,81.78105926513672
9.4.1,High Plains,82.15328216552734
9.4.1,High Plains,74.76679229736328
9.4.1,High Plains,64.09051513671875
9.4.1,High Plains,77.40938568115234
9.4.1,High Plains,80.975860595703125
9.4.1,High Plains,77.20115661621094
9.4.1,High Plains,73.35967254638672
9.4.1,High Plains,68.89891815185547
9.4.1,High Plains,73.68413543701172
9.4.1,High Plains,52.31264114379883
9.4.1,High Plains,66.075836181640625
9.4.1,High Plains,72.19036102294922
9.4.1,High Plains,75.529876708984375
9.4.1,High Plains,70.42882537841797
9.4.1,High Plains,72.3895492553711
9.4.1,High Plains,73.10786437988281
9.4.2,Central Great Plains,90.7680435180664
9.4.2,Central Great Plains,96.89038848876953
9.4.2,Central Great Plains,101.38320922851562
9.4.2,Central Great Plains,99.32343292236328
9.4.2,Central Great Plains,51.653865814208984
9.4.2,Central Great Plains,95.698760986328125
9.4.2,Central Great Plains,77.78604888916016
9.4.2,Central Great Plains,45.37254333496094
9.4.2,Central Great Plains,69.69599914550781
9.4.2,Central Great Plains,44.30534744262695
9.4.2,Central Great Plains,93.60040283203125
9.4.2,Central Great Plains,59.8458137512207
9.4.2,Central Great Plains,96.7499008178711
9.4.2,Central Great Plains,80.01030731201172
9.4.2,Central Great Plains,70.2837142944336
9.4.2,Central Great Plains,76.40729522705078
9.4.2,Central Great Plains,82.8886947631836
9.4.2,Central Great Plains,65.07489776611328
9.4.2,Central Great Plains,72.11164855957031
9.4.2,Central Great Plains,75.89434051513672
9.4.2,Central Great Plains,76.27998352050781
9.4.2,Central Great Plains,66.94164276123047
9.4.2,Central Great Plains,68.84406280517578
9.4.2,Central Great Plains,92.22008514404297
9.4.2,Central Great Plains,69.42557525634766
9.4.2,Central Great Plains,70.16499328613281
9.4.2,Central Great Plains,91.264984130859375
9.4.2,Central Great Plains,71.04320526123047
9.4.2,Central Great Plains,69.23735046386719
9.4.2,Central Great Plains,67.43975830078125
9.4.2,Central Great Plains,69.41707611083984
9.4.3,Southwestern Tablelands,59.451961517333984
9.4.3,Southwestern Tablelands,74.06005096435547
9.4.3,Southwestern Tablelands,52.78252410888672
9.4.3,Southwestern Tablelands,50.78470993041992
9.4.3,Southwestern Tablelands,72.78135681152344
9.4.3,Southwestern Tablelands,67.603363037109375
9.4.3,Southwestern Tablelands,58.2691764831543
9.4.3,Southwestern Tablelands,50.0321044921875
9.4.3,Southwestern Tablelands,72.08489990234375
9.4.3,Southwestern Tablelands,57.838523864746094
9.4.3,Southwestern Tablelands,50.226314544677734
9.4.3,Southwestern Tablelands,71.8656234741211
