path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,size_mb
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_05_bil/PRISM_tmean_30yr_normal_4kmM5_05_bil.stx,file, 34,rw-r--r--,2025-04-13T23:29:44Z,cjtinant,staff,16777230,1,0,197914848,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:44Z,stx,PRISM_tmean_30yr_normal_4kmM5_05_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_05_bil.zip,file,  1.46M,rw-r--r--,2025-04-13T23:29:44Z,cjtinant,staff,16777230,1,0,197914817,4096,3000,64,0,2025-04-14T06:04:08Z,2025-04-13T23:30:10Z,2025-04-13T23:29:43Z,zip,PRISM_tmean_30yr_normal_4kmM5_05_bil.zip,1.53
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_06_bil/PRISM_tmean_30yr_normal_4kmM5_06_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:45Z,cjtinant,staff,16777230,1,0,197914905,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:31:05Z,2025-04-13T23:29:45Z,bil,PRISM_tmean_30yr_normal_4kmM5_06_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_06_bil/PRISM_tmean_30yr_normal_4kmM5_06_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:45Z,cjtinant,staff,16777230,1,0,197914907,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:45Z,hdr,PRISM_tmean_30yr_normal_4kmM5_06_bil.hdr,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_06_bil/PRISM_tmean_30yr_normal_4kmM5_06_bil.stx,file, 34,rw-r--r--,2025-04-13T23:29:45Z,cjtinant,staff,16777230,1,0,197914910,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:45Z,stx,PRISM_tmean_30yr_normal_4kmM5_06_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_06_bil.zip,file,  1.47M,rw-r--r--,2025-04-13T23:29:45Z,cjtinant,staff,16777230,1,0,197914860,4096,3008,64,0,2025-04-14T04:21:46Z,2025-04-13T23:30:53Z,2025-04-13T23:29:44Z,zip,PRISM_tmean_30yr_normal_4kmM5_06_bil.zip,1.54
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_07_bil/PRISM_tmean_30yr_normal_4kmM5_07_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:50Z,cjtinant,staff,16777230,1,0,197915004,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:31:05Z,2025-04-13T23:29:50Z,bil,PRISM_tmean_30yr_normal_4kmM5_07_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_07_bil/PRISM_tmean_30yr_normal_4kmM5_07_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:50Z,cjtinant,staff,16777230,1,0,197915007,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:50Z,hdr,PRISM_tmean_30yr_normal_4kmM5_07_bil.hdr,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_07_bil/PRISM_tmean_30yr_normal_4kmM5_07_bil.stx,file, 33,rw-r--r--,2025-04-13T23:29:50Z,cjtinant,staff,16777230,1,0,197915010,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:50Z,stx,PRISM_tmean_30yr_normal_4kmM5_07_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_07_bil.zip,file,  1.46M,rw-r--r--,2025-04-13T23:29:50Z,cjtinant,staff,16777230,1,0,197914917,4096,3000,64,0,2025-04-14T04:14:11Z,2025-04-13T23:31:05Z,2025-04-13T23:29:46Z,zip,PRISM_tmean_30yr_normal_4kmM5_07_bil.zip,1.53
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_08_bil/PRISM_tmean_30yr_normal_4kmM5_08_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:51Z,cjtinant,staff,16777230,1,0,197915051,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:31:05Z,2025-04-13T23:29:51Z,bil,PRISM_tmean_30yr_normal_4kmM5_08_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_08_bil/PRISM_tmean_30yr_normal_4kmM5_08_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:51Z,cjtinant,staff,16777230,1,0,197915053,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:51Z,hdr,PRISM_tmean_30yr_normal_4kmM5_08_bil.hdr,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_08_bil/PRISM_tmean_30yr_normal_4kmM5_08_bil.stx,file, 33,rw-r--r--,2025-04-13T23:29:51Z,cjtinant,staff,16777230,1,0,197915056,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:51Z,stx,PRISM_tmean_30yr_normal_4kmM5_08_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_08_bil.zip,file,  1.46M,rw-r--r--,2025-04-13T23:29:51Z,cjtinant,staff,16777230,1,0,197915013,4096,2992,64,0,2025-04-14T06:04:33Z,2025-04-13T23:31:05Z,2025-04-13T23:29:50Z,zip,PRISM_tmean_30yr_normal_4kmM5_08_bil.zip,1.53
