path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,basename_no_ext,relative_path,top_folder,context_key,size_mb,last_modified,possible_duplicate
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Central_New_Mexico_Plains.gpkg,file, 198.17M,rw-r--r--,2025-06-18T05:56:39Z,cjtinant,staff,16777231,1,0,220547266,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T05:56:38Z,gpkg,Central_New_Mexico_Plains.gpkg,Central_New_Mexico_Plains,nhdphr_catchments/Central_New_Mexico_Plains.gpkg,nhdphr_catchments,nhdphr_catchments/Central_New_Mexico_Plains,207.8,2025-06-18T05:56:39Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Cherokee_Plains.gpkg,file, 403.62M,rw-r--r--,2025-06-18T00:12:43Z,cjtinant,staff,16777231,1,0,220429331,4096,0,1073741920,0,2025-07-13T01:10:50Z,2025-07-13T01:10:36Z,2025-06-18T00:12:41Z,gpkg,Cherokee_Plains.gpkg,Cherokee_Plains,nhdphr_catchments/Cherokee_Plains.gpkg,nhdphr_catchments,nhdphr_catchments/Cherokee_Plains,423.23,2025-06-18T00:12:43Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Cherry_Patch_Moraines.gpkg,file, 107.84M,rw-r--r--,2025-06-18T07:49:38Z,cjtinant,staff,16777231,1,0,220614184,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T07:49:38Z,gpkg,Cherry_Patch_Moraines.gpkg,Cherry_Patch_Moraines,nhdphr_catchments/Cherry_Patch_Moraines.gpkg,nhdphr_catchments,nhdphr_catchments/Cherry_Patch_Moraines,113.08,2025-06-18T07:49:38Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Claypan_Prairie.gpkg,file, 269.26M,rw-r--r--,2025-06-18T00:16:19Z,cjtinant,staff,16777231,1,0,220430196,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T00:16:17Z,gpkg,Claypan_Prairie.gpkg,Claypan_Prairie,nhdphr_catchments/Claypan_Prairie.gpkg,nhdphr_catchments,nhdphr_catchments/Claypan_Prairie,282.34,2025-06-18T00:16:19Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Coastal_Sand_Plain.gpkg,file,  40.04M,rw-r--r--,2025-06-19T17:44:14Z,cjtinant,staff,16777231,1,0,221342525,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-19T17:44:14Z,gpkg,Coastal_Sand_Plain.gpkg,Coastal_Sand_Plain,nhdphr_catchments/Coastal_Sand_Plain.gpkg,nhdphr_catchments,nhdphr_catchments/Coastal_Sand_Plain,41.98,2025-06-19T17:44:14Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Collapsed_Glacial_Outwash.gpkg,file, 132.41M,rw-r--r--,2025-06-18T07:13:41Z,cjtinant,staff,16777231,1,0,220589832,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T07:13:40Z,gpkg,Collapsed_Glacial_Outwash.gpkg,Collapsed_Glacial_Outwash,nhdphr_catchments/Collapsed_Glacial_Outwash.gpkg,nhdphr_catchments,nhdphr_catchments/Collapsed_Glacial_Outwash,138.85,2025-06-18T07:13:41Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Conchas_Pecos_Plains.gpkg,file, 175.11M,rw-r--r--,2025-06-18T05:53:51Z,cjtinant,staff,16777231,1,0,220546519,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T05:53:50Z,gpkg,Conchas_Pecos_Plains.gpkg,Conchas_Pecos_Plains,nhdphr_catchments/Conchas_Pecos_Plains.gpkg,nhdphr_catchments,nhdphr_catchments/Conchas_Pecos_Plains,183.62,2025-06-18T05:53:51Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Coteau_Lakes_Upland.gpkg,file,  30.41M,rw-r--r--,2025-06-18T07:47:31Z,cjtinant,staff,16777231,1,0,220613652,4096,0,1073741920,0,2025-07-13T01:10:52Z,2025-07-13T01:10:36Z,2025-06-18T07:47:31Z,gpkg,Coteau_Lakes_Upland.gpkg,Coteau_Lakes_Upland,nhdphr_catchments/Coteau_Lakes_Upland.gpkg,nhdphr_catchments,nhdphr_catchments/Coteau_Lakes_Upland,31.89,2025-06-18T07:47:31Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Cross_Timbers_Transition.gpkg,file, 547.8M,rw-r--r--,2025-06-17T23:45:24Z,cjtinant,staff,16777231,1,0,220420507,4096,0,1073741920,0,2025-07-13T01:10:52Z,2025-07-13T01:10:36Z,2025-06-17T23:45:21Z,gpkg,Cross_Timbers_Transition.gpkg,Cross_Timbers_Transition,nhdphr_catchments/Cross_Timbers_Transition.gpkg,nhdphr_catchments,nhdphr_catchments/Cross_Timbers_Transition,574.41,2025-06-17T23:45:24Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Dense_Clay_Prairie.gpkg,file, 136.13M,rw-r--r--,2025-06-18T17:02:52Z,cjtinant,staff,16777231,1,0,221001866,4096,0,1073741920,0,2025-07-13T01:10:53Z,2025-07-13T01:10:36Z,2025-06-18T17:02:51Z,gpkg,Dense_Clay_Prairie.gpkg,Dense_Clay_Prairie,nhdphr_catchments/Dense_Clay_Prairie.gpkg,nhdphr_catchments,nhdphr_catchments/Dense_Clay_Prairie,142.74,2025-06-18T17:02:52Z,FALSE
